,,,,,
,,,,,
RK,TEAM,P,YC,RC,PTS
1,Vitesse,16,31,3,40
2,Fortuna Sittard,16,34,2,40
3,Heracles Almelo,16,35,1,38
4,Almere City,16,33,1,36
5,PEC Zwolle,16,33,1,36
6,FC Twente,16,30,2,36
7,NEC Nijmegen,16,26,3,35
8,FC Volendam,16,24,2,30
9,Excelsior,16,24,2,30
10,RKC Waalwijk,16,27,1,30
11,FC Utrecht,16,24,2,30
12,Sparta Rotterdam,16,21,2,27
13,Go Ahead Eagles,16,20,2,26
14,Heerenveen,16,17,2,23
15,Ajax Amsterdam,16,20,0,20
16,AZ Alkmaar,16,18,0,18
17,PSV Eindhoven,16,15,0,15
18,Feyenoord Rotterdam,16,12,1,15