"Team","GH","YFH","YAH","O3.5H","U3.5H","O4.5H","U4.5H","O5.5H","U5.5H"
"Chelsea","13","2.92","2.85","100","0","77","23","46","54"
"Sheff Utd","14","2.79","1.29","71","29","50","50","14","86"
"Aston Villa","14","2.57","2.57","79","21","71","29","50","50"
"Wolverhampton","14","2.50","3.21","86","14","71","29","50","50"
"West Ham","15","2.40","1.87","73","27","47","53","27","73"
"Fulham","15","2.27","1.93","53","47","40","60","20","80"
"Crystal Palace","14","2.14","2.21","79","21","43","57","14","86"
"Newcastle","14","2.00","2.79","64","36","43","57","36","64"
"Luton","15","2.00","2.00","47","53","33","67","20","80"
"Brighton","14","2.00","2.86","86","14","50","50","21","79"
"Man Utd","14","2.00","2.29","71","29","43","57","14","86"
"Nottm Forest","14","1.93","2.57","64","36","57","43","29","71"
"Tottenham","14","1.93","3.29","79","21","57","43","29","71"
"Everton","14","1.86","1.71","36","64","29","71","21","79"
"Brentford","14","1.86","2.07","50","50","29","71","14","86"
"Bournemouth","14","1.64","2.93","64","36","50","50","29","71"
"Arsenal","14","1.57","2.29","57","43","43","57","21","79"
"Man City","14","1.57","2.86","64","36","43","57","43","57"
"Burnley","15","1.53","2.47","53","47","40","60","33","67"
"Liverpool","14","1.29","2.93","57","43","50","50","29","71"