"Team","GA","YFA","YAA","O3.5A","U3.5A","O4.5A","U4.5A","O5.5A","U5.5A"
"Chelsea","14","3.36","2.43","100","0","57","43","50","50"
"Sheff Utd","14","3.07","1.79","57","43","50","50","29","71"
"Brighton","14","2.93","2.79","86","14","64","36","50","50"
"Brentford","15","2.87","2.07","80","20","73","27","40","60"
"Nottm Forest","15","2.73","1.93","67","33","47","53","33","67"
"Burnley","14","2.64","2.29","86","14","57","43","36","64"
"Tottenham","14","2.64","2.36","71","29","64","36","36","64"
"Man Utd","14","2.64","2.21","71","29","57","43","36","64"
"Aston Villa","15","2.53","2.33","73","27","60","40","40","60"
"Fulham","14","2.50","1.43","57","43","43","57","29","71"
"West Ham","14","2.43","1.36","50","50","36","64","14","86"
"Bournemouth","14","2.43","1.71","71","29","36","64","21","79"
"Liverpool","14","2.43","2.50","57","43","36","64","29","71"
"Wolverhampton","14","2.43","1.50","64","36","43","57","14","86"
"Everton","14","2.21","1.43","50","50","36","64","7","93"
"Newcastle","14","2.14","2.36","64","36","43","57","29","71"
"Luton","14","1.79","1.79","57","43","36","64","0","100"
"Man City","14","1.79","2.50","64","36","43","57","21","79"
"Crystal Palace","14","1.71","1.71","50","50","36","64","14","86"
"Arsenal","14","1.50","2.21","50","50","43","57","29","71"